date,entry_word_count,formatted_date,quarter
7/24/2021,142,2021-07-24,2021Q3
7/19/2021,211,2021-07-19,2021Q3
2021-06-21 0:00:00,194,2021-06-21,2021Q2
2021-06-19 0:00:00,266,2021-06-19,2021Q2
2021-06-16 0:00:00,136,2021-06-16,2021Q2
2021-06-14 0:00:00,218,2021-06-14,2021Q2
2021-06-11 0:00:00,52,2021-06-11,2021Q2
2021-06-09 0:00:00,137,2021-06-09,2021Q2
2021-06-08 0:00:00,177,2021-06-08,2021Q2
2021-06-03 0:00:00,200,2021-06-03,2021Q2
2021-06-02 0:00:00,179,2021-06-02,2021Q2
2021-05-26 0:00:00,541,2021-05-26,2021Q2
2021-05-15 0:00:00,10,2021-05-15,2021Q2
2021-05-14 0:00:00,111,2021-05-14,2021Q2
2021-05-07 0:00:00,90,2021-05-07,2021Q2
2021-05-03 0:00:00,90,2021-05-03,2021Q2
2021-04-30 0:00:00,270,2021-04-30,2021Q2
2021-04-13 0:00:00,48,2021-04-13,2021Q2
2021-04-12 0:00:00,305,2021-04-12,2021Q2
2021-04-10 0:00:00,275,2021-04-10,2021Q2
2021-04-09 0:00:00,233,2021-04-09,2021Q2
2021-04-08 0:00:00,52,2021-04-08,2021Q2
2021-04-06 0:00:00,43,2021-04-06,2021Q2
2021-03-27 0:00:00,513,2021-03-27,2021Q1
2021-02-21 0:00:00,393,2021-02-21,2021Q1
2021-02-09 0:00:00,82,2021-02-09,2021Q1
2021-02-05 0:00:00,74,2021-02-05,2021Q1
2021-01-20 0:00:00,298,2021-01-20,2021Q1
2021-01-18 0:00:00,141,2021-01-18,2021Q1
2021-01-10 0:00:00,157,2021-01-10,2021Q1
2021-01-01 0:00:00,91,2021-01-01,2021Q1
2020-12-10 0:00:00,90,2020-12-10,2020Q4
2020-11-01 0:00:00,190,2020-11-01,2020Q4
2020-10-10 0:00:00,28,2020-10-10,2020Q4
2020-09-19 0:00:00,163,2020-09-19,2020Q3
2020-09-05 0:00:00,64,2020-09-05,2020Q3
2020-08-31 0:00:00,193,2020-08-31,2020Q3
2020-08-17 0:00:00,307,2020-08-17,2020Q3
2020-08-16 0:00:00,94,2020-08-16,2020Q3
2020-06-21 0:00:00,378,2020-06-21,2020Q2
2020-06-15 0:00:00,8,2020-06-15,2020Q2
2020-06-07 0:00:00,209,2020-06-07,2020Q2
2020-04-29 0:00:00,13,2020-04-29,2020Q2
2020-04-18 0:00:00,99,2020-04-18,2020Q2
2020-04-12 0:00:00,299,2020-04-12,2020Q2
2020-04-12 0:00:00,299,2020-04-12,2020Q2
2020-02-15 0:00:00,348,2020-02-15,2020Q1
2020-02-11 0:00:00,32,2020-02-11,2020Q1
2020-01-26 0:00:00,572,2020-01-26,2020Q1
2020-01-25 0:00:00,412,2020-01-25,2020Q1
2019-12-28 0:00:00,413,2019-12-28,2019Q4
2019-12-19 0:00:00,161,2019-12-19,2019Q4
2019-10-19 0:00:00,122,2019-10-19,2019Q4
2019-09-13 0:00:00,34,2019-09-13,2019Q3
2019-08-26 0:00:00,106,2019-08-26,2019Q3
2019-08-24 0:00:00,59,2019-08-24,2019Q3
2019-08-04 0:00:00,131,2019-08-04,2019Q3
2019-07-23 0:00:00,29,2019-07-23,2019Q3
2019-07-14 0:00:00,152,2019-07-14,2019Q3
2019-07-05 0:00:00,260,2019-07-05,2019Q3
2019-06-23 0:00:00,96,2019-06-23,2019Q2
2019-06-18 0:00:00,285,2019-06-18,2019Q2
2019-06-17 0:00:00,47,2019-06-17,2019Q2
2019-06-15 0:00:00,144,2019-06-15,2019Q2
2019-05-18 0:00:00,178,2019-05-18,2019Q2
2019-05-04 0:00:00,104,2019-05-04,2019Q2
2019-04-28 0:00:00,785,2019-04-28,2019Q2
2019-03-31 0:00:00,208,2019-03-31,2019Q1
2019-03-10 0:00:00,126,2019-03-10,2019Q1
2019-02-03 0:00:00,101,2019-02-03,2019Q1
2019-01-20 0:00:00,327,2019-01-20,2019Q1
2018-11-25 0:00:00,412,2018-11-25,2018Q4
2018-11-18 0:00:00,249,2018-11-18,2018Q4
2018-11-09 0:00:00,137,2018-11-09,2018Q4
2018-10-28 0:00:00,181,2018-10-28,2018Q4
2018-10-16 0:00:00,14,2018-10-16,2018Q4
2018-10-14 0:00:00,27,2018-10-14,2018Q4
2018-10-13 0:00:00,16,2018-10-13,2018Q4
2018-10-12 0:00:00,14,2018-10-12,2018Q4
2018-10-11 0:00:00,21,2018-10-11,2018Q4
2018-08-25 0:00:00,34,2018-08-25,2018Q3
2018-07-27 0:00:00,117,2018-07-27,2018Q3
2018-06-16 0:00:00,66,2018-06-16,2018Q2
2018-06-08 0:00:00,124,2018-06-08,2018Q2
2018-05-18 0:00:00,163,2018-05-18,2018Q2
2018-02-24 0:00:00,84,2018-02-24,2018Q1
2018-02-11 0:00:00,179,2018-02-11,2018Q1
2018-02-02 0:00:00,2,2018-02-02,2018Q1
2018-01-12 0:00:00,43,2018-01-12,2018Q1
2017-12-31 0:00:00,91,2017-12-31,2017Q4
2017-12-26 0:00:00,78,2017-12-26,2017Q4
2017-10-05 0:00:00,105,2017-10-05,2017Q4
2017-09-13 0:00:00,142,2017-09-13,2017Q3
2017-08-29 0:00:00,147,2017-08-29,2017Q3
2017-07-11 0:00:00,35,2017-07-11,2017Q3
2017-07-09 0:00:00,89,2017-07-09,2017Q3
2017-06-28 0:00:00,154,2017-06-28,2017Q2
2017-06-26 0:00:00,179,2017-06-26,2017Q2
2017-06-25 0:00:00,266,2017-06-25,2017Q2
2017-06-17 0:00:00,253,2017-06-17,2017Q2
2017-06-05 0:00:00,57,2017-06-05,2017Q2
2017-05-21 0:00:00,71,2017-05-21,2017Q2
2017-04-30 0:00:00,70,2017-04-30,2017Q2
2017-04-21 0:00:00,26,2017-04-21,2017Q2
2017-04-18 0:00:00,38,2017-04-18,2017Q2
2017-04-04 0:00:00,195,2017-04-04,2017Q2
2017-03-23 0:00:00,47,2017-03-23,2017Q1
2017-02-13 0:00:00,72,2017-02-13,2017Q1
2016-10-07 0:00:00,126,2016-10-07,2016Q4
2016-08-03 0:00:00,71,2016-08-03,2016Q3
2016-08-02 0:00:00,92,2016-08-02,2016Q3
2016-07-01 0:00:00,61,2016-07-01,2016Q3
2016-06-30 0:00:00,176,2016-06-30,2016Q2
2016-06-13 0:00:00,136,2016-06-13,2016Q2
2016-06-11 0:00:00,71,2016-06-11,2016Q2
2016-06-05 0:00:00,47,2016-06-05,2016Q2
2016-06-03 0:00:00,534,2016-06-03,2016Q2
2016-05-31 0:00:00,313,2016-05-31,2016Q2
2016-05-26 0:00:00,279,2016-05-26,2016Q2
2016-05-24 0:00:00,367,2016-05-24,2016Q2
2016-05-23 0:00:00,508,2016-05-23,2016Q2
2016-05-15 0:00:00,130,2016-05-15,2016Q2
2016-05-13 0:00:00,397,2016-05-13,2016Q2
2016-05-09 0:00:00,41,2016-05-09,2016Q2
2016-05-07 0:00:00,146,2016-05-07,2016Q2
2016-05-05 0:00:00,70,2016-05-05,2016Q2
2016-05-04 0:00:00,440,2016-05-04,2016Q2
2016-04-20 0:00:00,316,2016-04-20,2016Q2
2016-04-17 0:00:00,47,2016-04-17,2016Q2
2016-03-29 0:00:00,190,2016-03-29,2016Q1
2016-03-28 0:00:00,180,2016-03-28,2016Q1
2016-03-25 0:00:00,406,2016-03-25,2016Q1
2016-02-29 0:00:00,88,2016-02-29,2016Q1
2016-02-09 0:00:00,283,2016-02-09,2016Q1
2016-01-05 0:00:00,372,2016-01-05,2016Q1
2015-12-30 0:00:00,385,2015-12-30,2015Q4
2015-12-28 0:00:00,547,2015-12-28,2015Q4
2015-12-27 0:00:00,275,2015-12-27,2015Q4
2015-12-09 0:00:00,190,2015-12-09,2015Q4
2015-12-01 0:00:00,12,2015-12-01,2015Q4
2015-11-30 0:00:00,201,2015-11-30,2015Q4
2015-11-25 0:00:00,34,2015-11-25,2015Q4
2015-11-20 0:00:00,14,2015-11-20,2015Q4
2015-11-17 0:00:00,600,2015-11-17,2015Q4
2015-10-29 0:00:00,49,2015-10-29,2015Q4
2015-10-25 0:00:00,173,2015-10-25,2015Q4
2015-10-20 0:00:00,18,2015-10-20,2015Q4
2014-09-03 0:00:00,263,2014-09-03,2014Q3
2014-08-20 0:00:00,296,2014-08-20,2014Q3
2014-03-18 0:00:00,960,2014-03-18,2014Q1
2014-03-16 0:00:00,294,2014-03-16,2014Q1
2014-02-03 0:00:00,245,2014-02-03,2014Q1
2014-02-02 0:00:00,293,2014-02-02,2014Q1
2012-01-21 0:00:00,263,2012-01-21,2012Q1
2012-01-02 0:00:00,36,2012-01-02,2012Q1
2012-01-01 0:00:00,415,2012-01-01,2012Q1
2011-01-30 0:00:00,315,2011-01-30,2011Q1
2011-01-22 0:00:00,195,2011-01-22,2011Q1
2011-01-21 0:00:00,734,2011-01-21,2011Q1
2011-01-09 0:00:00,354,2011-01-09,2011Q1
2010-09-26 0:00:00,89,2010-09-26,2010Q3
2010-03-19 0:00:00,49,2010-03-19,2010Q1
2009-11-14 0:00:00,16,2009-11-14,2009Q4
2009-11-13 0:00:00,428,2009-11-13,2009Q4
2008-11-02 0:00:00,182,2008-11-02,2008Q4
2008-09-07 0:00:00,102,2008-09-07,2008Q3
2008-08-20 0:00:00,40,2008-08-20,2008Q3
2008-08-04 0:00:00,182,2008-08-04,2008Q3
2008-05-04 0:00:00,284,2008-05-04,2008Q2
2005-12-27 0:00:00,299,2005-12-27,2005Q4
2005-12-22 0:00:00,200,2005-12-22,2005Q4
2005-12-19 0:00:00,37,2005-12-19,2005Q4
2005-12-11 0:00:00,240,2005-12-11,2005Q4
2005-11-21 0:00:00,116,2005-11-21,2005Q4
2005-11-20 0:00:00,305,2005-11-20,2005Q4
2005-10-30 0:00:00,158,2005-10-30,2005Q4
2005-10-04 0:00:00,57,2005-10-04,2005Q4
2005-09-28 0:00:00,426,2005-09-28,2005Q3
2005-09-04 0:00:00,58,2005-09-04,2005Q3
2005-08-02 0:00:00,10,2005-08-02,2005Q3
2005-07-26 0:00:00,1,2005-07-26,2005Q3
2005-07-22 0:00:00,40,2005-07-22,2005Q3
2005-06-30 0:00:00,545,2005-06-30,2005Q2
2005-06-26 0:00:00,113,2005-06-26,2005Q2
2005-05-01 0:00:00,260,2005-05-01,2005Q2
2005-04-23 0:00:00,192,2005-04-23,2005Q2
2005-04-16 0:00:00,165,2005-04-16,2005Q2
2005-03-21 0:00:00,623,2005-03-21,2005Q1
2005-03-18 0:00:00,575,2005-03-18,2005Q1
2005-03-15 0:00:00,334,2005-03-15,2005Q1
2005-03-14 0:00:00,400,2005-03-14,2005Q1
2005-03-04 0:00:00,86,2005-03-04,2005Q1
2005-02-21 0:00:00,171,2005-02-21,2005Q1
2005-02-20 0:00:00,171,2005-02-20,2005Q1
2005-02-18 0:00:00,159,2005-02-18,2005Q1
2005-02-13 0:00:00,111,2005-02-13,2005Q1
2005-02-12 0:00:00,173,2005-02-12,2005Q1
2005-02-12 0:00:00,173,2005-02-12,2005Q1
2005-01-31 0:00:00,626,2005-01-31,2005Q1
2005-01-30 0:00:00,187,2005-01-30,2005Q1
2005-01-28 0:00:00,248,2005-01-28,2005Q1
2005-01-26 0:00:00,74,2005-01-26,2005Q1
2005-01-19 0:00:00,31,2005-01-19,2005Q1
2005-01-11 0:00:00,29,2005-01-11,2005Q1
2005-01-05 0:00:00,240,2005-01-05,2005Q1
2004-12-29 0:00:00,18,2004-12-29,2004Q4
2004-12-26 0:00:00,89,2004-12-26,2004Q4
2004-12-25 0:00:00,22,2004-12-25,2004Q4
2004-12-20 0:00:00,178,2004-12-20,2004Q4
2004-12-13 0:00:00,56,2004-12-13,2004Q4
2004-12-12 0:00:00,449,2004-12-12,2004Q4
2004-12-11 0:00:00,78,2004-12-11,2004Q4
2004-12-10 0:00:00,125,2004-12-10,2004Q4
2004-12-09 0:00:00,113,2004-12-09,2004Q4
2004-12-06 0:00:00,369,2004-12-06,2004Q4
2004-12-05 0:00:00,30,2004-12-05,2004Q4
2004-12-02 0:00:00,68,2004-12-02,2004Q4
2004-12-01 0:00:00,106,2004-12-01,2004Q4
2004-11-28 0:00:00,64,2004-11-28,2004Q4
2004-11-20 0:00:00,439,2004-11-20,2004Q4
2004-11-19 0:00:00,121,2004-11-19,2004Q4
2004-11-18 0:00:00,63,2004-11-18,2004Q4
2004-11-14 0:00:00,126,2004-11-14,2004Q4
2004-11-12 0:00:00,61,2004-11-12,2004Q4
2004-11-11 0:00:00,641,2004-11-11,2004Q4
2004-11-08 0:00:00,185,2004-11-08,2004Q4
2004-11-07 0:00:00,3398,2004-11-07,2004Q4
2004-11-07 0:00:00,1221,2004-11-07,2004Q4
2004-11-04 0:00:00,415,2004-11-04,2004Q4
2004-10-31 0:00:00,199,2004-10-31,2004Q4
2004-10-30 0:00:00,467,2004-10-30,2004Q4
2004-10-23 0:00:00,33,2004-10-23,2004Q4
2004-10-22 0:00:00,290,2004-10-22,2004Q4
2004-10-17 0:00:00,102,2004-10-17,2004Q4
2004-10-16 0:00:00,189,2004-10-16,2004Q4
2004-10-13 0:00:00,70,2004-10-13,2004Q4
2004-10-12 0:00:00,129,2004-10-12,2004Q4
2004-10-11 0:00:00,293,2004-10-11,2004Q4
2004-10-03 0:00:00,220,2004-10-03,2004Q4
2004-09-26 0:00:00,109,2004-09-26,2004Q3
2004-09-21 0:00:00,308,2004-09-21,2004Q3
2004-09-19 0:00:00,46,2004-09-19,2004Q3
2004-09-10 0:00:00,29,2004-09-10,2004Q3
2004-09-09 0:00:00,72,2004-09-09,2004Q3
2004-08-31 0:00:00,63,2004-08-31,2004Q3
2004-08-29 0:00:00,27,2004-08-29,2004Q3
2004-08-26 0:00:00,11,2004-08-26,2004Q3
2004-08-23 0:00:00,1086,2004-08-23,2004Q3
2004-08-09 0:00:00,113,2004-08-09,2004Q3
2004-08-08 0:00:00,324,2004-08-08,2004Q3
2004-07-28 0:00:00,71,2004-07-28,2004Q3
2004-07-24 0:00:00,47,2004-07-24,2004Q3
2004-07-23 0:00:00,15,2004-07-23,2004Q3
2004-07-22 0:00:00,214,2004-07-22,2004Q3
